Capture,n_obs,n_consistent,n_inconsistent,frac_consistent,largest_jump,max_jump_in_24h,Species
F601,323,323,0,1,-1,2,Rainbow Trout
F608,17,17,0,1,-1,2,Rainbow Trout
F612,216,216,0,1,-1,3,Rainbow Trout
F622,205,205,0,1,-1,4,Rainbow Trout
F615,17,17,0,1,-1,2,Rainbow Trout
F617,176,176,0,1,-1,2,Rainbow Trout
F632,281,280,1,0.99644128113879,1,2,Rainbow Trout
F636,367,367,0,1,-1,1,Rainbow Trout
F640,92,92,0,1,-1,3,Rainbow Trout
F641,294,291,3,0.989795918367347,1,2,Rainbow Trout
F645,248,248,0,1,-1,2,Rainbow Trout
F654,168,168,0,1,-1,4,Rainbow Trout
F701,151,151,0,1,-1,2,Rainbow Trout
F704,220,220,0,1,-1,3,Rainbow Trout
